"RAILROAD","IYR","IMO","STATE","COUNTY","LOCOMI","MTMI","ysmi","TOTMI","EMPHRS","PASSMI","REVPASS","TYPRR","REGION","DUMMY","YEAR4","FRTRNMI","PASTRNMI","OTHERMI","CNTYCD","STCNTY","NARR1","NARR2","NARR3","NARRLEN",DUMMY1
"NARZ","18","10","01","MADISON             ","0","0","3","57","0","4384","814","3 ","3","","2018","0","34","20","089","01C089","14.  WORK TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
17.  HALLOWEEN & FALL COLOR TRA","INS.","","104","",
"ATN ","18","10","01","ETOWAH              ","0","0","1464","5706","5764","0","0","3 ","3","","2018","4242","0","0","055","01C055","","","","0","",
"CSMX","18","09","01","SHELBY              ","0","0","2","116","119","13349","1171","3 ","3","","2018","0","114","0","117","01C117","REGULAR EXCURSION OPERATIONS","","","28","",
"SERX","18","03","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2018","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT","","","65","",
"SERX","18","05","01","JEFFERSON           ","0","0","0","0","0","0","0","3 ","3","","2018","0","0","0","073","01C073","SERX HAS NO EMPLOYEES AND NEITHER OWNS NOR OPERATES ANY EQUIPMENT.","","","66","",
"TASD","18","05","01","MOBILE              ","0","0","9066","9066","15678","0","0","3 ","3","","2018","0","0","0","097","01C097","","","","0","",
"NARZ","18","03","01","MADISON             ","0","0","1","23","0","1085","310","3 ","3","","2018","0","18","4","089","01C089","14.  WORK TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
16.  ANNUAL EASTER TRAINS.","","","95","",
"NARZ","18","04","01","MADISON             ","0","0","1","53","0","3668","762","3 ","3","","2018","0","42","10","089","01C089","14.  WORK TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
17.  ANNUAL SCHOOL FIELD TRIPS,"," AND TW0 PUBLIC RUNS.","","121","",
"NARZ","18","09","01","MADISON             ","0","0","2","2","0","0","0","3 ","3","","2018","0","0","0","089","01C089","12.  NO PASSENGER TRAINS SCHEDULED IN SEPTEMBER.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.","","","93","",
"ABS ","18","08","01","TUSCALOOSA          ","0","0","4452","10602","8908","0","0","3 ","3","","2018","6150","0","0","125","01C125","","","","0","",
"ATN ","18","09","01","ETOWAH              ","0","0","1340","5384","5907","0","0","3 ","3","","2018","4044","0","0","055","01C055","","","","0","",
"APPX","18","08","01","SHELBY              ","0","0","36","36","194","0","0","3 ","3","","2018","0","0","0","117","01C117","","","","0","",
"ABWR","18","06","01","JEFFERSON           ","0","0","4393","4393","3722","0","0","3 ","3","","2018","0","0","0","073","01C073","","","","0","",
"AUT ","18","06","01","AUTAUGA             ","0","0","626","2500","1805","0","0","3 ","3","","2018","1874","0","0","001","01C001","","","","0","",
"BHRR","18","06","01","JEFFERSON           ","0","0","12323","13885","12792","0","0","3 ","3","","2018","1562","0","0","073","01C073","","","","0","",
"TASD","18","06","01","MOBILE              ","0","0","7866","7866","14220","0","0","3 ","3","","2018","0","0","0","097","01C097","","","","0","",
"ABS ","18","05","01","TUSCALOOSA          ","0","0","3894","9828","9000","0","0","3 ","3","","2018","5934","0","0","125","01C125","","","","0","",
"ATN ","18","06","01","ETOWAH              ","0","0","1441","4867","4566","0","0","3 ","3","","2018","3426","0","0","055","01C055","","","","0","",
"NARZ","18","07","01","MADISON             ","0","0","1","46","0","3050","305","3 ","3","","2018","0","20","25","089","01C089","14.  WORK AND TRACK INSPECTION TRAIN MILES.
15.  ALL WORKERS VOLUNTEERS OR CONTRACTORS.
","","","90","",
"ATN ","18","01","01","ETOWAH              ","0","0","1607","4602","4399","0","0","3 ","3","","2018","2995","0","0","055","01C055","","","","0","",
"ABS ","18","09","01","TUSCALOOSA          ","0","0","3663","9437","7739","0","0","3 ","3","","2018","5774","0","0","125","01C125","","","","0","",
"APPX","18","11","01","SHELBY              ","0","0","40","40","169","0","0","3 ","3","","2018","0","0","0","117","01C117","","","","0","",
"CSMX","18","11","01","SHELBY              ","0","0","2","97","152","35339","7853","3 ","3","","2018","0","95","0","117","01C117","STARTED `NPE` CHRISTMAS EVENT ABOUT WILD MONTH. ","","","47","",
"ABWR","18","07","01","JEFFERSON           ","0","0","4052","4052","3805","0","0","3 ","3","","2018","0","0","0","073","01C073","","","","0","",
"AUT ","18","07","01","AUTAUGA             ","0","0","574","1978","1793","0","0","3 ","3","","2018","1404","0","0","001","01C001","","","","0","",
"BHRR","18","07","01","JEFFERSON           ","0","0","13545","14765","12867","0","0","3 ","3","","2018","1220","0","0","073","01C073","","","","0","",
