"RAILROAD","IYR","IMO","STATE","COUNTY","LOCOMI","MTMI","ysmi","TOTMI","EMPHRS","PASSMI","REVPASS","TYPRR","REGION","DUMMY","YEAR4","FRTRNMI","PASTRNMI","OTHERMI","CNTYCD","STCNTY","NARR1","NARR2","NARR3","NARRLEN",DUMMY1
"MSE ","19","01","28","JACKSON             ","0","0","378","2618","6559","0","0","3 ","3","","2019","2240","0","0","059","28C059","OUR FREIGHT TRAIN MILES WERE HIGHER THIS MONTH THAN PREVIOUS MONTHS DUE TO COAL OPERATIONS AND OTHER"," ONE TIME FREIGHT MOVES.","","124","",
"PBVR","19","01","28","HANCOCK             ","0","0","1260","1530","2522","0","0","3 ","3","","2019","270","0","0","045","28C045","A BRAKEMAN ON JAN. 26, 2019 TWISTED HIS ANKLE WHILE GETTING ON RAILCAR AT STORAGE YARD.","","","87","",
"GTRA","19","01","28","LOWNDES             ","0","0","248","1161","1419","0","0","3 ","3","","2019","913","0","0","087","28C087","","","","0","",
"NDW ","19","08","17","PEORIA              ","0","0","262","1255","957","0","0","3 ","4","","2019","993","0","0","143","17C143","","","","0","",
"PRY ","19","08","17","PEORIA              ","0","0","0","0","0","0","0","6 ","4","","2019","0","0","0","143","17C143","","","","0","",
"RNA ","19","08","17","PEORIA              ","0","0","19","415","848","0","0","3 ","4","","2019","396","0","0","143","17C143","","","","0","",
"STR ","19","08","17","PEORIA              ","0","0","0","0","0","0","0","6 ","4","","2019","0","0","0","143","17C143","","","","0","",
"VRRC","19","08","17","PEORIA              ","0","0","9","9","28","0","0","3 ","4","","2019","0","0","0","143","17C143","","","","0","",
"RBRM","19","08","17","COOK                ","0","0","140","140","264","0","0","3 ","4","","2019","0","0","0","031","17C031","","","","0","",
"ILW ","19","09","17","BOND                ","0","0","0","0","0","0","0","6 ","4","","2019","0","0","0","005","17C005","","","","0","",
"VRRC","19","07","17","PEORIA              ","0","0","7","7","26","0","0","3 ","4","","2019","0","0","0","143","17C143","OPERATES AS NEEDED. ACCURATE AS REPORTED. ","","","41","",
"STR ","19","07","17","PEORIA              ","0","0","0","0","0","0","0","6 ","4","","2019","0","0","0","143","17C143","NO SERVICE REQUIRED THIS MONTH. NO BUSINESS. ","","","44","",
"NIRC","19","07","17","COOK                ","0","0","8482","331947","497091","61089340","2731916","6 ","4","","2019","0","323465","0","031","17C031","","","","0","",
"CCUO","19","07","17","MCHENRY             ","0","0","0","0","0","0","0","3 ","4","","2019","0","0","0","111","17C111","","","","0","",
"KBSR","19","04","17","IROQUOIS            ","0","0","318","3588","1215","0","0","3 ","4","","2019","3270","0","0","075","17C075","","","","0","",
"KJRY","19","06","17","PEORIA              ","0","0","408","1943","2921","0","0","3 ","4","","2019","1535","0","0","143","17C143","","","","0","",
"IC  ","19","04","17","COOK                ","0","0","82387","682406","718413","0","0","6 ","4","","2019","597638","0","2381","031","17C031","","","","0","",
"CRL ","19","05","17","COOK                ","0","0","8895","9520","6764","0","0","3 ","4","","2019","625","0","0","031","17C031","","","","0","",
"MJ  ","19","05","17","COOK                ","0","0","0","0","0","0","0","6 ","4","","2019","0","0","0","031","17C031","","","","0","",
"MSO ","19","04","17","PEORIA              ","0","0","50","233","104","0","0","3 ","4","","2019","183","0","0","143","17C143","","","","0","",
"RVPR","19","07","17","CARROLL             ","0","0","1012","1012","1406","0","0","3 ","4","","2019","0","0","0","015","17C015","","","","0","",
"JERX","19","04","17","MASSAC              ","0","0","0","116","0","0","0","3 ","4","","2019","116","0","0","127","17C127","","","","0","",
"ALAB","19","08","17","PEORIA              ","0","0","0","0","533","0","0","3 ","4","","2019","0","0","0","143","17C143","","","","0","",
"DT  ","19","08","17","PEORIA              ","0","0","9","109","218","0","0","3 ","4","","2019","100","0","0","143","17C143","","","","0","",
"EWR ","19","08","17","PEORIA              ","0","0","106","706","300","0","0","3 ","4","","2019","600","0","0","143","17C143","","","","0","",
"FSR ","19","08","17","PEORIA              ","0","0","350","914","1942","0","0","3 ","4","","2019","564","0","0","143","17C143","","","","0","",
"GCW ","19","08","17","PEORIA              ","0","0","107","279","644","0","0","3 ","4","","2019","172","0","0","143","17C143","","","","0","",
"GET ","19","08","17","PEORIA              ","0","0","32","924","1038","0","0","3 ","4","","2019","892","0","0","143","17C143","","","","0","",
"GS  ","19","08","17","PEORIA              ","0","0","43","1139","2007","0","0","3 ","4","","2019","1096","0","0","143","17C143","","","","0","",
"ISW ","19","08","17","PEORIA              ","0","0","34","34","304","0","0","3 ","4","","2019","0","0","0","143","17C143","","","","0","",
"EFRR","19","04","17","EFFINGHAM           ","0","0","2928","2928","488","0","0","3 ","4","","2019","0","0","0","049","17C049","","","","0","",
"BRC ","19","05","17","COOK                ","0","0","32339","32519","72603","0","0","3 ","4","","2019","180","0","0","031","17C031","","","","0","",
"GTW ","19","08","17","COOK                ","0","0","25401","298744","135514","0","0","6 ","4","","2019","273343","0","0","031","17C031","","","","0","",
